Product-1,Product-2,Basket
Tropical Fruit,Coffee,Tropical Fruit + Coffee
Tropical Fruit,Yogurt,Tropical Fruit + Yogurt
Tropical Fruit,Whole Milk,Tropical Fruit + Whole Milk
Tropical Fruit,Pip Fruit,Tropical Fruit + Pip Fruit
Tropical Fruit,Meat Spreads,Tropical Fruit + Meat Spreads
Tropical Fruit,Cream Cheese ,Tropical Fruit + Cream Cheese 
Tropical Fruit,Other Vegetables,Tropical Fruit + Other Vegetables
Tropical Fruit,Condensed Milk,Tropical Fruit + Condensed Milk
Tropical Fruit,Long Life Bakery Product,Tropical Fruit + Long Life Bakery Product
Tropical Fruit,Abrasive Cleaner,Tropical Fruit + Abrasive Cleaner
Tropical Fruit,Butter,Tropical Fruit + Butter
Tropical Fruit,Rice,Tropical Fruit + Rice
Tropical Fruit,Rolls/Buns,Tropical Fruit + Rolls/Buns
Tropical Fruit,Uht-Milk,Tropical Fruit + Uht-Milk
Tropical Fruit,Liquor (Appetizer),Tropical Fruit + Liquor (Appetizer)
Tropical Fruit,Bottled Beer,Tropical Fruit + Bottled Beer
Tropical Fruit,Pot Plants,Tropical Fruit + Pot Plants
Tropical Fruit,Cereals,Tropical Fruit + Cereals
Tropical Fruit,Bottled Water,Tropical Fruit + Bottled Water
Tropical Fruit,Chocolate,Tropical Fruit + Chocolate
Tropical Fruit,White Bread,Tropical Fruit + White Bread
Tropical Fruit,Dishes,Tropical Fruit + Dishes
Tropical Fruit,Flour,Tropical Fruit + Flour
Tropical Fruit,Curd,Tropical Fruit + Curd
Tropical Fruit,Citrus Fruit,Tropical Fruit + Citrus Fruit
Tropical Fruit,Beef,Tropical Fruit + Beef
Tropical Fruit,Frankfurter,Tropical Fruit + Frankfurter
Tropical Fruit,Soda,Tropical Fruit + Soda
Tropical Fruit,Chicken,Tropical Fruit + Chicken
Tropical Fruit,Fruit/Vegetable Juice,Tropical Fruit + Fruit/Vegetable Juice
Tropical Fruit,Sugar,Tropical Fruit + Sugar
Tropical Fruit,Newspapers,Tropical Fruit + Newspapers
Tropical Fruit,Packaged Fruit/Vegetables,Tropical Fruit + Packaged Fruit/Vegetables
Tropical Fruit,Specialty Bar,Tropical Fruit + Specialty Bar
Tropical Fruit,Butter Milk,Tropical Fruit + Butter Milk
Tropical Fruit,Pastry,Tropical Fruit + Pastry
Tropical Fruit,Processed Cheese,Tropical Fruit + Processed Cheese
Tropical Fruit,Detergent,Tropical Fruit + Detergent
Tropical Fruit,Sweet Spreads,Tropical Fruit + Sweet Spreads
Tropical Fruit,Frozen Dessert,Tropical Fruit + Frozen Dessert
Tropical Fruit,Candy,Tropical Fruit + Candy
Tropical Fruit,Bathroom Cleaner,Tropical Fruit + Bathroom Cleaner
Tropical Fruit,Waffles,Tropical Fruit + Waffles
Tropical Fruit,Salty Snack,Tropical Fruit + Salty Snack
Tropical Fruit,Root Vegetables,Tropical Fruit + Root Vegetables
Tropical Fruit,Canned Beer,Tropical Fruit + Canned Beer
Tropical Fruit,Sausage,Tropical Fruit + Sausage
Tropical Fruit,Brown Bread,Tropical Fruit + Brown Bread
Tropical Fruit,Shopping Bags,Tropical Fruit + Shopping Bags
Tropical Fruit,Beverages,Tropical Fruit + Beverages
Tropical Fruit,Spices,Tropical Fruit + Spices
Tropical Fruit,Napkins,Tropical Fruit + Napkins
