TransactionID,Products
TRAN10000,Tropical Fruit
TRAN10000,Coffee
TRAN10000,Yogurt
TRAN10001,Whole Milk
TRAN10002,Pip Fruit
TRAN10002,Yogurt
TRAN10002,Meat Spreads
TRAN10002,Cream Cheese 
TRAN10003,Other Vegetables
TRAN10003,Whole Milk
TRAN10003,Condensed Milk
TRAN10003,Long Life Bakery Product
TRAN10004,Abrasive Cleaner
TRAN10004,Yogurt
TRAN10004,Butter
TRAN10004,Whole Milk
TRAN10004,Rice
TRAN10005,Rolls/Buns
TRAN10006,Uht-Milk
TRAN10006,Other Vegetables
TRAN10006,Liquor (Appetizer)
TRAN10006,Bottled Beer
TRAN10006,Rolls/Buns
TRAN10007,Pot Plants
TRAN10008,Cereals
TRAN10008,Whole Milk
TRAN10009,Bottled Water
TRAN10009,Chocolate
TRAN10009,Tropical Fruit
TRAN10009,White Bread
TRAN10009,Other Vegetables
TRAN10010,Dishes
TRAN10010,Butter
TRAN10010,Flour
TRAN10010,Whole Milk
TRAN10010,Tropical Fruit
TRAN10010,Curd
TRAN10010,Bottled Water
TRAN10010,Citrus Fruit
TRAN10010,Yogurt
TRAN10011,Beef
TRAN10012,Frankfurter
TRAN10012,Rolls/Buns
TRAN10012,Soda
TRAN10013,Tropical Fruit
TRAN10013,Chicken
TRAN10014,Fruit/Vegetable Juice
TRAN10014,Sugar
TRAN10014,Newspapers
TRAN10014,Butter
TRAN10015,Fruit/Vegetable Juice
TRAN10016,Packaged Fruit/Vegetables
TRAN10017,Chocolate
TRAN10018,Specialty Bar
TRAN10019,Other Vegetables
TRAN10020,Butter Milk
TRAN10020,Pastry
TRAN10021,Whole Milk
TRAN10022,Cream Cheese 
TRAN10022,Processed Cheese
TRAN10022,Detergent
TRAN10022,Tropical Fruit
TRAN10022,Newspapers
TRAN10023,Other Vegetables
TRAN10023,Tropical Fruit
TRAN10023,Sweet Spreads
TRAN10023,Frozen Dessert
TRAN10023,Candy
TRAN10023,Bathroom Cleaner
TRAN10023,Flour
TRAN10023,Waffles
TRAN10023,Salty Snack
TRAN10023,Root Vegetables
TRAN10023,Rolls/Buns
TRAN10024,Canned Beer
TRAN10024,Bottled Water
TRAN10025,Yogurt
TRAN10026,Soda
TRAN10026,Sausage
TRAN10026,Rolls/Buns
TRAN10026,Chocolate
TRAN10027,Other Vegetables
TRAN10028,Fruit/Vegetable Juice
TRAN10028,Brown Bread
TRAN10028,Shopping Bags
TRAN10028,Soda
TRAN10028,Canned Beer
TRAN10028,Newspapers
TRAN10029,Beverages
TRAN10029,Bottled Water
TRAN10029,Specialty Bar
TRAN10029,Yogurt
TRAN10030,Spices
TRAN10030,Napkins
TRAN10030,Rolls/Buns
TRAN10030,Hamburger Meat
TRAN10030,Hygiene Articles
TRAN10030,Other Vegetables
TRAN10030,Bottled Water
TRAN10031,Other Vegetables
TRAN10031,Beverages
TRAN10031,Sugar
TRAN10031,Root Vegetables
TRAN10031,Whole Milk
TRAN10032,Soda
TRAN10032,Other Vegetables
TRAN10032,Abrasive Cleaner
TRAN10032,Whipped/Sour Cream
TRAN10032,Whole Milk
TRAN10032,Pork
TRAN10032,Artif. Sweetener
TRAN10032,Berries
TRAN10033,Grapes
TRAN10033,Beef
TRAN10033,Detergent
TRAN10034,Pastry
TRAN10034,Soda
TRAN10035,Fruit/Vegetable Juice
TRAN10036,Canned Beer
TRAN10037,Whole Milk
TRAN10037,Root Vegetables
TRAN10037,Dessert
TRAN10037,Other Vegetables
TRAN10038,Citrus Fruit
TRAN10038,Zwieback
TRAN10038,Newspapers
TRAN10039,Specialty Bar
TRAN10039,Sausage
TRAN10039,Shopping Bags
TRAN10039,Canned Beer
TRAN10039,Soda
TRAN10039,Rolls/Buns
TRAN10040,Cereals
TRAN10040,Brown Bread
TRAN10040,Soda
TRAN10040,Domestic Eggs
TRAN10040,Yogurt
TRAN10040,Candy
TRAN10040,Coffee
TRAN10040,Waffles
TRAN10040,Root Vegetables
TRAN10040,Pastry
TRAN10040,Sugar
TRAN10040,Whole Milk
TRAN10040,Tropical Fruit
TRAN10041,Berries
TRAN10041,Yogurt
TRAN10042,Canned Beer
TRAN10043,Butter Milk
TRAN10043,Yogurt
TRAN10043,Newspapers
TRAN10043,Bottled Water
TRAN10043,Cream Cheese 
TRAN10043,Soda
TRAN10043,Rolls/Buns
TRAN10043,Spread Cheese
TRAN10044,Coffee
TRAN10045,Bottled Water
TRAN10045,Pastry
TRAN10046,Rolls/Buns
TRAN10047,Misc. Beverages
TRAN10048,Bottled Water
TRAN10048,Other Vegetables
TRAN10048,Hard Cheese
TRAN10048,Whipped/Sour Cream
TRAN10048,Root Vegetables
TRAN10048,Curd
TRAN10048,Rolls/Buns
TRAN10048,Butter
TRAN10048,Long Life Bakery Product
TRAN10048,Uht-Milk
TRAN10049,Newspapers
TRAN10049,Rolls/Buns
TRAN10049,Cat Food
TRAN10049,Sausage
TRAN10050,Canned Beer
TRAN10051,Ham
TRAN10051,Other Vegetables
TRAN10051,Grapes
TRAN10051,Whole Milk
TRAN10052,Curd
TRAN10052,Tropical Fruit
TRAN10052,Domestic Eggs
TRAN10052,Fruit/Vegetable Juice
TRAN10052,Turkey
TRAN10052,Semi-Finished Bread
TRAN10052,Baking Powder
TRAN10052,Other Vegetables
TRAN10052,Brown Bread
TRAN10052,Margarine
TRAN10053,Processed Cheese
TRAN10053,Pickled Vegetables
TRAN10053,Whole Milk
TRAN10053,Soda
TRAN10053,Yogurt
TRAN10054,Curd
TRAN10054,Yogurt
TRAN10054,Whole Milk
TRAN10054,Pastry
TRAN10055,Packaged Fruit/Vegetables
TRAN10055,Brown Bread
TRAN10055,Canned Beer
TRAN10056,Chocolate Marshmallow
TRAN10056,Oil
TRAN10056,Rolls/Buns
TRAN10056,Chewing Gum
TRAN10056,Hygiene Articles
TRAN10056,Bottled Water
TRAN10056,Napkins
TRAN10057,Ice Cream
TRAN10057,Rolls/Buns
TRAN10057,Whipped/Sour Cream
TRAN10057,Cat Food
TRAN10057,Ham
TRAN10057,Beef
TRAN10058,Pastry
TRAN10058,Sugar
TRAN10058,Rolls/Buns
TRAN10059,Whole Milk
TRAN10059,Salty Snack
TRAN10059,Canned Fish
TRAN10059,Frozen Vegetables
TRAN10059,Other Vegetables
TRAN10059,Seasonal Products
TRAN10059,Detergent
TRAN10060,Pastry
TRAN10060,Sausage
TRAN10061,Sausage
TRAN10061,Beef
TRAN10061,Whole Milk
TRAN10062,Tropical Fruit
TRAN10062,Frankfurter
TRAN10062,Sugar
TRAN10062,Brown Bread
TRAN10062,Rolls/Buns
TRAN10063,Rolls/Buns
TRAN10063,Soda
TRAN10063,Pastry
TRAN10064,Whole Milk
TRAN10065,Curd Cheese
TRAN10065,Coffee
TRAN10066,Newspapers
TRAN10066,Red/Blush Wine
TRAN10067,Sausage
TRAN10067,Curd
TRAN10067,Whole Milk
TRAN10068,Whole Milk
TRAN10068,Chocolate
TRAN10068,Berries
TRAN10068,Frozen Potato Products
TRAN10068,Rolls/Buns
TRAN10068,Tropical Fruit
TRAN10068,Pip Fruit
TRAN10068,Pickled Vegetables
TRAN10069,Red/Blush Wine
TRAN10070,Specialty Fat
TRAN10070,Margarine
TRAN10070,Specialty Chocolate
TRAN10070,Candles
TRAN10070,Flower (Seeds)
TRAN10070,Butter
TRAN10070,Whole Milk
TRAN10071,Specialty Chocolate
TRAN10071,Sparkling Wine
TRAN10071,Frankfurter
TRAN10071,Domestic Eggs
TRAN10071,Oil
TRAN10071,Newspapers
TRAN10071,Citrus Fruit
TRAN10071,Whole Milk
TRAN10072,Whole Milk
TRAN10072,Meat Spreads
TRAN10072,Soda
TRAN10073,Frozen Potato Products
TRAN10074,Other Vegetables
TRAN10074,Sugar
TRAN10074,Rolls/Buns
TRAN10074,Whole Milk
TRAN10075,Curd
TRAN10075,Citrus Fruit
TRAN10075,Pastry
TRAN10075,Whole Milk
TRAN10075,Butter Milk
TRAN10076,Fruit/Vegetable Juice
TRAN10076,Flour
TRAN10076,Bottled Beer
TRAN10076,Bottled Water
TRAN10076,Salt
TRAN10077,Bottled Beer
TRAN10077,Sugar
TRAN10077,Soda
TRAN10077,Bottled Water
TRAN10078,Coffee
TRAN10078,Frozen Meals
TRAN10079,Chocolate
TRAN10080,Root Vegetables
TRAN10080,Domestic Eggs
TRAN10080,Canned Vegetables
TRAN10080,Bathroom Cleaner
